day,location,action,weather,cash,water,food
0,起点1,起点购买,,5780,178,333
1,前往村庄15(1/6),移动,hot,5780,162,321
2,前往村庄15(2/6),移动,hot,5780,146,309
3,前往村庄15(3/6),移动,sunny,5780,136,295
4,前往村庄15(3/6),沙暴停留,sandstorm,5780,126,285
5,前往村庄15(4/6),移动,sunny,5780,116,271
6,前往村庄15(5/6),移动,hot,5780,100,259
7,前往村庄15(5/6),沙暴停留,sandstorm,5780,90,249
8,村庄15,移动,sunny,5780,80,235
9,前往矿山12(1/2),移动,hot,5780,64,223
10,矿山12,移动,hot,5780,48,211
11,矿山12,挖矿,sandstorm,6780,18,181
12,矿山12,挖矿,hot,7720,0,163
13,矿山12,挖矿,sunny,8570,0,142
14,矿山12,挖矿,hot,9330,0,124
15,矿山12,挖矿,hot,10090,0,106
16,矿山12,挖矿,hot,10850,0,88
17,矿山12,矿山停留,sandstorm,10750,0,78
18,矿山12,矿山停留,sandstorm,10650,0,68
19,矿山12,挖矿,hot,11410,0,50
20,前往村庄15(1/2),移动,hot,11250,0,38
21,村庄15,移动,sunny,11150,0,24
22,前往终点27(1/3),移动,sunny,11050,0,10
23,前往终点27(2/3),移动,hot,10850,0,0
24,终点27,移动,sunny,10470,0,0
