source,target,weight,provenance
1,2,1,B078-distance-equals-1
1,6,1,B078-distance-equals-1
2,3,1,B078-distance-equals-1
2,7,1,B078-distance-equals-1
3,4,1,B078-distance-equals-1
3,8,1,B078-distance-equals-1
4,5,1,B078-distance-equals-1
4,9,1,B078-distance-equals-1
5,10,1,B078-distance-equals-1
6,7,1,B078-distance-equals-1
6,11,1,B078-distance-equals-1
7,8,1,B078-distance-equals-1
7,12,1,B078-distance-equals-1
8,9,1,B078-distance-equals-1
8,13,1,B078-distance-equals-1
9,10,1,B078-distance-equals-1
9,14,1,B078-distance-equals-1
10,15,1,B078-distance-equals-1
11,12,1,B078-distance-equals-1
11,16,1,B078-distance-equals-1
12,13,1,B078-distance-equals-1
12,17,1,B078-distance-equals-1
13,14,1,B078-distance-equals-1
13,18,1,B078-distance-equals-1
14,15,1,B078-distance-equals-1
14,19,1,B078-distance-equals-1
15,20,1,B078-distance-equals-1
16,17,1,B078-distance-equals-1
16,21,1,B078-distance-equals-1
17,18,1,B078-distance-equals-1
17,22,1,B078-distance-equals-1
18,19,1,B078-distance-equals-1
18,23,1,B078-distance-equals-1
19,20,1,B078-distance-equals-1
19,24,1,B078-distance-equals-1
20,25,1,B078-distance-equals-1
21,22,1,B078-distance-equals-1
22,23,1,B078-distance-equals-1
23,24,1,B078-distance-equals-1
24,25,1,B078-distance-equals-1
