node,type,row,column,source
1,start,1,1,B078-dis-and-quai
2,normal,1,2,B078-dis-and-quai
3,normal,1,3,B078-dis-and-quai
4,normal,1,4,B078-dis-and-quai
5,normal,1,5,B078-dis-and-quai
6,normal,2,1,B078-dis-and-quai
7,normal,2,2,B078-dis-and-quai
8,normal,2,3,B078-dis-and-quai
9,normal,2,4,B078-dis-and-quai
10,normal,2,5,B078-dis-and-quai
11,normal,3,1,B078-dis-and-quai
12,normal,3,2,B078-dis-and-quai
13,normal,3,3,B078-dis-and-quai
14,village,3,4,B078-dis-and-quai
15,normal,3,5,B078-dis-and-quai
16,normal,4,1,B078-dis-and-quai
17,normal,4,2,B078-dis-and-quai
18,mine,4,3,B078-dis-and-quai
19,normal,4,4,B078-dis-and-quai
20,normal,4,5,B078-dis-and-quai
21,normal,5,1,B078-dis-and-quai
22,normal,5,2,B078-dis-and-quai
23,normal,5,3,B078-dis-and-quai
24,normal,5,4,B078-dis-and-quai
25,end,5,5,B078-dis-and-quai
