time_s,centerline_distance_m,full_cylinder_worst_distance_m,centerline_projection_lambda,missile_cloud_distance_m
5.10000000,22.18681824,22.76607694,0.0696914765,1294.38397899
5.10393333,22.17049172,22.74924599,0.0696324249,1293.20510249
5.10786667,22.15416447,22.73241422,0.0695733657,1292.02622601
5.11180000,22.13783648,22.71558165,0.0695142991,1290.84734955
5.11573333,22.12150777,22.69874828,0.0694552249,1289.66847310
5.11966667,22.10517832,22.68191410,0.0693961433,1288.48959666
5.12360000,22.08884813,22.66507911,0.0693370541,1287.31072024
5.12753333,22.07251722,22.64824333,0.0692779574,1286.13184383
5.13146667,22.05618558,22.63140674,0.0692188533,1284.95296743
5.13540000,22.03985321,22.61456935,0.0691597415,1283.77409106
5.13933333,22.02352010,22.59773116,0.0691006223,1282.59521469
5.14326667,22.00718627,22.58089216,0.0690414956,1281.41633834
5.14720000,21.99085171,22.56405237,0.0689823613,1280.23746201
5.15113333,21.97451643,22.54721178,0.0689232196,1279.05858569
5.15506667,21.95818041,22.53037038,0.0688640703,1277.87970938
5.15900000,21.94184367,22.51352819,0.0688049134,1276.70083309
5.16293333,21.92550621,22.49668520,0.0687457491,1275.52195681
5.16686667,21.90916802,22.47984142,0.0686865772,1274.34308055
5.17080000,21.89282910,22.46299683,0.0686273978,1273.16420431
5.17473333,21.87648946,22.44615145,0.0685682109,1271.98532808
5.17866667,21.86014910,22.42930527,0.0685090164,1270.80645186
5.18260000,21.84380801,22.41245830,0.0684498145,1269.62757566
5.18653333,21.82746621,22.39561053,0.0683906049,1268.44869947
5.19046667,21.81112368,22.37876197,0.0683313879,1267.26982330
5.19440000,21.79478043,22.36191262,0.0682721633,1266.09094715
5.19833333,21.77843645,22.34506247,0.0682129312,1264.91207101
5.20226667,21.76209176,22.32821153,0.0681536915,1263.73319488
5.20620000,21.74574635,22.31135980,0.0680944443,1262.55431877
5.21013333,21.72940022,22.29450727,0.0680351895,1261.37544268
5.21406667,21.71305338,22.27765396,0.0679759273,1260.19656660
5.21800000,21.69670581,22.26079985,0.0679166574,1259.01769053
5.22193333,21.68035753,22.24394496,0.0678573800,1257.83881449
5.22586667,21.66400853,22.22708928,0.0677980951,1256.65993845
5.22980000,21.64765882,22.21023281,0.0677388026,1255.48106244
5.23373333,21.63130839,22.19337555,0.0676795026,1254.30218643
5.23766667,21.61495725,22.17651750,0.0676201950,1253.12331045
5.24160000,21.59860539,22.15965867,0.0675608799,1251.94443448
5.24553333,21.58225282,22.14279905,0.0675015572,1250.76555852
5.24946667,21.56589954,22.12593865,0.0674422270,1249.58668259
5.25340000,21.54954555,22.10907746,0.0673828892,1248.40780666
