parameter,value,duration_s
航向偏差,-1.5,4.4985685386755225
航向偏差,-1.375,4.512853693989078
航向偏差,-1.25,4.525875710292326
航向偏差,-1.125,4.537639665430003
航向偏差,-1.0,4.548154755743355
航向偏差,-0.875,4.557425103084624
航向偏差,-0.75,4.565453938458543
航向偏差,-0.625,4.572246525940907
航向偏差,-0.5,4.577805315210552
航向偏差,-0.375,4.58213137124431
航向偏差,-0.25,4.585224146531687
航向偏差,-0.125,4.587084557319962
航向偏差,0.0,4.587711308013794
航向偏差,0.125,4.549135130010782
航向偏差,0.25,4.509977012804594
航向偏差,0.375,4.470236456773092
航向偏差,0.5,4.429910842069039
航向偏差,0.625,4.388997065629944
航向偏差,0.75,4.347491536293043
航向偏差,0.875,4.305390171358162
航向偏差,1.0,4.2626883946018905
航向偏差,1.125,4.219380826754972
航向偏差,1.25,4.175460382757244
航向偏差,1.375,4.130922127661881
航向偏差,1.5,4.085759379730216
速度,100.0,4.563877442638045
速度,101.66666666666667,4.565239668778562
速度,103.33333333333333,4.566575460863005
速度,105.0,4.567880678110295
速度,106.66666666666667,4.569158169484931
速度,108.33333333333333,4.570405713039467
速度,110.0,4.571622247574119
速度,111.66666666666667,4.572809688457122
速度,113.33333333333333,4.573963700769483
速度,115.0,4.575087538899369
速度,116.66666666666667,4.57617857522119
速度,118.33333333333334,4.577235892430502
速度,120.0,4.578260341682415
速度,121.66666666666667,4.579250080294944
速度,123.33333333333334,4.58020526365583
速度,125.0,4.5811253071576745
速度,126.66666666666667,4.582008950947953
速度,128.33333333333334,4.582855937880317
速度,130.0,4.583666575917685
速度,131.66666666666666,4.584438374714508
速度,133.33333333333334,4.585173123564696
速度,135.0,4.585867427512877
速度,136.66666666666669,4.586522646627303
速度,138.33333333333334,4.587138101311897
速度,140.0,4.587711308013794
投放延迟,0.0,4.587711308013794
投放延迟,0.03333333333333333,4.387714746637687
投放延迟,0.06666666666666667,4.186714526320142
投放延迟,0.1,3.9846871567813382
投放延迟,0.13333333333333333,3.781606322189381
投放延迟,0.16666666666666666,3.577443468925593
投放延迟,0.2,3.3721694281302175
投放延迟,0.23333333333333334,3.165754335561919
投放延迟,0.26666666666666666,2.9581653831874375
投放延迟,0.3,2.7493661428839244
投放延迟,0.3333333333333333,2.5393235703616663
投放延迟,0.36666666666666664,2.327994139189208
投放延迟,0.4,2.1153407180119066
投放延迟,0.43333333333333335,1.901318076334329
投放延迟,0.4666666666666667,1.685876348003298
投放延迟,0.5,1.4689680192756156
投放延迟,0.5333333333333333,1.2505080311985493
投放延迟,0.5666666666666667,1.0304602122952127
投放延迟,0.6,0.8087653620274895
投放延迟,0.6333333333333333,0.5853556423518311
投放延迟,0.6666666666666666,0.3601583429125348
投放延迟,0.7,0.1330831934420893
投放延迟,0.7333333333333333,0.0
投放延迟,0.7666666666666666,0.0
投放延迟,0.8,0.0
引信延迟,0.48904168492046163,4.566417520699311
引信延迟,0.509875018253795,4.568412180026535
引信延迟,0.5307083515871283,4.570348099244485
引信延迟,0.5515416849204616,4.572232283447397
引信延迟,0.572375018253795,4.574071062543059
引信延迟,0.5932083515871283,4.575870895610205
引信延迟,0.6140416849204616,4.577636805462831
引信延迟,0.634875018253795,4.579372599704804
引信延迟,0.6557083515871283,4.581082294342478
引信延迟,0.6765416849204616,4.582768628834277
引信延迟,0.697375018253795,4.584434130755061
引信延迟,0.7182083515871283,4.586082316497757
引信延迟,0.7390416849204616,4.587711308013794
引信延迟,0.759875018253795,4.43741506598911
引信延迟,0.7807083515871283,4.28614811204804
引信延迟,0.8015416849204616,4.133906461447033
引信延迟,0.822375018253795,3.980683367485807
引信延迟,0.8432083515871283,3.8264698294252417
引信延迟,0.8640416849204616,3.6712599709171516
引信延迟,0.884875018253795,3.5150457362384255
引信延迟,0.9057083515871283,3.3578188552874124
引信延迟,0.9265416849204616,3.1995708502331657
引信延迟,0.947375018253795,3.040292952389009
引信延迟,0.9682083515871283,2.87997655841819
引信延迟,0.9890416849204616,2.718612338566598
