kind,drone_id,bomb_id,missile_id,interval_id,start_s,end_s,duration_s
bomb,FY1,1,M1,1,4.824834895852851,7.401397153109627,2.576562257256777
bomb,FY1,2,M1,1,1.0000010463439852,4.824884327554249,3.8248832812102633
bomb,FY2,1,M2,1,8.595607824509479,12.508737627881537,3.9131298033720583
bomb,FY2,2,M1,1,18.678241524662212,22.447948294921467,3.769706770259255
bomb,FY3,1,M3,1,23.173809478117057,26.109487677917734,2.9356781998006767
bomb,FY3,2,M1,1,32.78895612259376,35.61878796768225,2.829831845088492
bomb,FY3,3,M2,1,26.54097225951444,29.468152207394276,2.9271799478798357
bomb,FY4,1,M2,1,14.24462994062932,18.04202314906039,3.797393208431071
bomb,FY5,1,M3,1,12.903941545006994,16.65534632878208,3.7514047837750866
union,,,M1,1,1.0000010463439852,7.401397153109627,6.401396106765642
union,,,M1,2,18.678241524662212,22.447948294921467,3.769706770259255
union,,,M1,3,32.78895612259376,35.61878796768225,2.829831845088492
union,,,M2,1,8.595607824509479,12.508737627881537,3.9131298033720583
union,,,M2,2,14.24462994062932,18.04202314906039,3.797393208431071
union,,,M2,3,26.54097225951444,29.468152207394276,2.9271799478798357
union,,,M3,1,12.903941545006994,16.65534632878208,3.7514047837750866
union,,,M3,2,23.173809478117057,26.109487677917734,2.9356781998006767
